ig_name,total_vedios,total_likes,avg_like,max_like,min_like,total_comments,avg_coments,max_comments,min_comments,total_tags,avg_tags,max_tags,_min_tags,total_views,avg_views,max_views,min_views,total_duration,max_duration,avg_duration,min_duration
ala780705,159,653708.0,4111.37106918239,127434.0,1.0,10530,66.22641509433963,688,0,96,0.6037735849056604,4,0,44215537.0,278085.1383647799,4030286.0,1051.0,7183.160000000002,2359.48,45.177106918239005,4.1
alephant_0427,76,500285.0,6582.6973684210525,82814.0,1153.0,7410,97.5,902,11,40,0.5263157894736842,11,0,19135052.0,251777.0,1384066.0,59060.0,4362.359999999999,131.87,57.39947368421051,11.54
allie.liao,146,3873245.0,26529.075342465752,137237.0,2523.0,26368,180.6027397260274,829,10,0,0.0,0,0,174263328.0,1193584.4383561644,5610911.0,326435.0,5501.789999999999,77.07,37.683493150684924,10.29
alvin701,1,2.0,2.0,2.0,2.0,0,0.0,0,0,0,0.0,0,0,236.0,236.0,236.0,236.0,47.53,47.53,47.53,47.53
andy1994x,79,4553118.0,57634.40506329114,355088.0,5450.0,27698,350.60759493670884,4053,2,13,0.16455696202531644,2,0,154868424.0,1960359.7974683545,13409047.0,129884.0,2295.810000000001,77.27,29.060886075949377,7.73
anjouclever,23,485227.0,21096.82608695652,125981.0,2147.0,1355,58.91304347826087,279,10,4,0.17391304347826086,1,0,10420748.0,453076.0,1440000.0,149961.0,1464.59,116.05,63.67782608695652,8.98
annie72127,62,430898.0,7181.633333333333,50167.0,818.0,2146,34.61290322580645,607,1,29,0.46774193548387094,7,0,18093260.0,291826.77419354836,1162623.0,64306.0,3272.1499999999996,112.22,52.776612903225804,14.83
aottergirls,284,624169.0,2197.7781690140846,59881.0,125.0,7511,26.447183098591548,909,0,7,0.02464788732394366,1,0,32785226.0,115440.93661971831,3876969.0,5720.0,14386.080000000002,132.93,50.65521126760564,4.3
arielsvlog_816,82,2051192.0,25014.536585365855,230160.0,2993.0,4737,57.76829268292683,403,3,56,0.6829268292682927,4,0,73453972.0,895780.1463414634,3207165.0,273195.0,18146.469999999998,7594.88,221.2984146341463,8.61
aries_8248,172,588217.0,25574.652173913044,70542.0,1097.0,16721,97.21511627906976,969,10,171,0.9941860465116279,6,0,82382592.0,478968.5581395349,2538265.0,106644.0,5449.130000000001,179.17,31.68098837209303,3.02
b2btramy888888,61,14645.0,1331.3636363636363,2339.0,2.0,4304,70.55737704918033,1648,0,36,0.5901639344262295,6,0,2582028.0,42328.32786885246,241395.0,492.0,8349.630000000001,3996.22,136.87918032786888,4.0
basil_77777,49,552227.0,11269.938775510203,101296.0,972.0,7713,157.40816326530611,1258,8,2,0.04081632653061224,1,0,19395515.0,395826.8367346939,2192168.0,67746.0,3447.4500000000003,104.63,70.35612244897959,28.06
baxuan_ig,52,2677948.0,51499.0,336537.0,4738.0,15294,294.11538461538464,3738,9,16,0.3076923076923077,2,0,67322125.0,1294656.25,12613190.0,137310.0,2528.1200000000003,91.3,48.617692307692316,5.63
beauty___wu,77,2237578.0,29059.454545454544,248240.0,3583.0,67390,875.1948051948052,59667,4,51,0.6623376623376623,4,0,79479924.0,1032206.8051948051,5289959.0,172058.0,4305.349999999999,90.02,55.91363636363636,7.64
benwoooo,18,45789.0,2543.8333333333335,7092.0,441.0,1031,57.27777777777778,569,2,15,0.8333333333333334,3,0,1888642.0,104924.55555555556,243624.0,32827.0,1112.1499999999999,186.33,61.786111111111104,8.15
bimay_nagging,61,235413.0,3859.2295081967213,26829.0,1001.0,2125,34.83606557377049,260,2,12,0.19672131147540983,2,0,8060632.0,132141.50819672132,534928.0,55272.0,2346.35,704.98,38.46475409836066,4.83
